"method","sizes","probs","cells","pred_sizes_perf","pred_probs_perf","pred_warns_perf","pred_sizes_corr","pred_probs_corr","pred_warns_corr","zero_prop_corr","error_sizes_perf","error_probs_perf","error_sizes_corr","error_probs_corr"
"negloglik",8.9,0.81,1900,8.55675642757481,0.805246781719866,0,5.25494792912198,0.702039280235335,0,0.743684210526316,0.343243572425193,0.00475321828013409,3.64505207087802,0.107960719764665
"negloglik",26.4,0.16,3400,26.1432162831406,0.157993002342791,0,23.9455050034817,0.141679631687803,0,0.00823529411764706,0.256783716859356,0.00200699765720927,2.45449499651833,0.0183203683121967
"negloglik",29.9,0.98,4700,16.7326732503471,0.964415337082269,0,3.30187298150033,0.8321103729878,0,0.908723404255319,13.1673267496529,0.0155846629177311,26.5981270184997,0.1478896270122
"negloglik",35.7,0.33,3300,37.12822131092,0.339084987837496,0,40.0585024761531,0.344465305427032,0,0.0324242424242424,1.42822131092003,0.00908498783749584,4.35850247615308,0.0144653054270316
"negloglik",25.5,0.98,1050,10.292766658324,0.95417093262038,0,0.874791963481794,0.627149816352326,0,0.931428571428571,15.207233341676,0.02582906737962,24.6252080365182,0.352850183647674
"negloglik",30.6,0.73,4950,31.7201943414298,0.735456514575352,0,35.3032157344664,0.745830027807921,0,0.273131313131313,1.12019434142983,0.00545651457535168,4.70321573446638,0.0158300278079209
"negloglik",23.1,0.05,4000,23.5395377056285,0.0514298355312936,0,23.2380533734308,0.0486829911523209,0,5e-04,0.43953770562851,0.00142983553129357,0.138053373430754,0.00131700884767914
"negloglik",4.2,0.57,1050,4.17890276674137,0.575466670539027,0,4.28899198642432,0.570680867461093,0,0.647619047619048,0.0210972332586348,0.0054666705390275,0.0889919864243165,0.000680867461093193
"negloglik",25,0.8,4650,28.0368983247411,0.817823491232805,0,59.4231348197685,0.901158295238515,0,0.435913978494624,3.03689832474114,0.017823491232805,34.4231348197685,0.101158295238515
"negloglik",23.2,0.36,1350,24.1530748623946,0.371118004829539,0,27.777502387237,0.395987990011049,0,0.0622222222222222,0.953074862394615,0.0111180048295387,4.57750238723702,0.0359879900110489
"negloglik",26.7,0.41,1650,29.1826515958201,0.431644299132732,0,31.8574009531218,0.441841749987608,0,0.0715151515151515,2.48265159582012,0.0216442991327316,5.15740095312179,0.0318417499876085
"negloglik",39.9,0.85,4000,34.7815811805498,0.832072137273487,0,113.239287455255,0.937963160412175,0,0.391,5.11841881945024,0.0179278627265134,73.3392874552545,0.0879631604121749
"negloglik",40.1,0.2,2600,37.9075743804792,0.1915762696549,0,38.2443441064826,0.186039919600315,0,0.00807692307692308,2.19242561952084,0.00842373034510013,1.85565589351737,0.013960080399685
"negloglik",37,0.63,300,48.2908055623463,0.687372508581644,0,298.931073366277,0.925013711395889,0,0.103333333333333,11.2908055623463,0.0573725085816444,261.931073366277,0.295013711395889
"negloglik",27.2,0.68,4400,27.6927360129964,0.683599312383197,0,33.7222794211215,0.714849746603853,0,0.254090909090909,0.492736012996374,0.00359931238319722,6.52227942112153,0.0348497466038526
"negloglik",33.5,0.28,2350,32.1830393462906,0.27071642562341,0,31.5817847904123,0.259240076688835,0,0.0208510638297872,1.31696065370942,0.0092835743765905,1.91821520958772,0.0207599233111652
