"genes","r_est","p_est","r_rmse","p_rmse","zero_prop"
"AGTPBP1",0.991237604618718,0.340528064696556,36.4001993451525,0.0910742457811652,0.908010012515645
"AGTRAP",2.24513061254568,0.111251580672285,35.0840375064768,0.0473485565761419,0.486024196912808
"AHCTF1",2.80869825409181,0.255988910907798,31.6896470016984,0.0719135276240546,0.680781532471144
"AHCY",2.88829114550571,0.104649779516414,32.2661048168622,0.0458614294639292,0.425392852176332
"AHCYL1",3.00295168810792,0.139374375389138,30.6818325027854,0.0507789370687477,0.458698372966208
"AHDC1",1.14360639793591,0.140070889324869,45.5673829852538,0.055028962215037,0.729731608955639
"AHI1",1.67113077780281,0.181395282596789,40.3168490313408,0.0609876974426554,0.706508135168961
"AHNAK",1.6782117520919,0.0134059111769258,23.0926915327,0.0311763226590287,0.0705743290223891
"AHR",0.529291600011007,0.0455668592954463,52.2740596076497,0.0401407113825044,0.683632318175497
"AHSA1",4.03297687136978,0.210856993398769,26.3471361215479,0.0616288619869394,0.509942984285913
"AIDA",3.55567218618484,0.233481667857074,28.0470806891187,0.0662240976864417,0.578014184397163
"AIFM1",2.19092311035576,0.245566766353941,35.4160127912404,0.07139351970865,0.729383952162425
"AIFM2",0.98435489321494,0.257784399439177,42.1661773952552,0.0764987639670542,0.872340425531915
"AIG1",1.98178805120921,0.145617603167331,38.3793961523251,0.0540127887220832,0.608190794048116
"AIMP1",4.6013577937306,0.208471591097187,24.5328801546646,0.0607250660683614,0.475524961757753
"AIMP2",2.34987124521447,0.205064200146125,35.6885021373512,0.0638604185471526,0.664580725907384
"AIP",3.25260674200079,0.176512849512129,28.9888897762586,0.0563637862621665,0.494507022667223
"AK2",4.67722601168547,0.13220345619549,22.9613451384101,0.047816910456859,0.313795021554721
"AK3",3.32901387287323,0.167956228719117,29.0438533452104,0.055013088605733,0.480878876373244
"AK6",7.86849604090424,0.429137615180705,10.7947739055694,0.0968797685361719,0.606800166875261
"AKAP1",1.6298457469133,0.225719576663983,39.8023485635231,0.0692615125982765,0.774440272562926
"AKAP10",1.37201779038582,0.213827648712309,41.6176531168358,0.0675669115724045,0.786677791684049
"AKAP11",2.17720730301151,0.226367487048615,35.5737767924546,0.0677008925649482,0.698929217076902
"AKAP13",1.08762216185654,0.0454783252544594,39.2836158944966,0.0378421371155901,0.437143651786956
"AKAP17A",2.17310061748074,0.255546102852202,35.1213917662813,0.0732078626682368,0.74113475177305
"AKAP8",4.11469005625998,0.478305067582506,17.4393109801984,0.11078846530212,0.797733277708246
"AKAP8L",3.13972526381811,0.326899169300938,28.0092704458144,0.0843634008552842,0.735363649005702
"AKAP9",1.84017226645577,0.0412250881450405,30.1098919916889,0.0357885135522836,0.259560561813378
"AKIP1",2.87413102543998,0.225613370070886,31.4059070446452,0.0659850366970802,0.623279098873592
"AKIRIN1",5.87988280378935,0.359225045509613,17.208347684762,0.085700200262975,0.602211097204839
"AKIRIN2",2.17187769312635,0.193992544711924,36.1039702975959,0.0618440537616048,0.652134612710332
"AKNA",0.393204968681253,0.0938726914672153,56.6106937903584,0.0494715532512015,0.853984146850229
"AKR1A1",3.57368296581899,0.0857457766747896,24.1667257966429,0.0410089987576602,0.244194131553331
"AKR1B1",0.185929084576639,0.0214916853420472,60.7885877630064,0.0374071733104004,0.802322347378668
"AKR7A2",2.88752809867878,0.0941413534504647,30.0630711294619,0.0435875415221016,0.364900570157141
"AKT1",2.06122303552527,0.124992711524554,37.4788461686635,0.0502525975089513,0.554790710610485
"AKT1S1",5.56582700027889,0.356260454771597,18.9304138566404,0.0861251277493865,0.627103323598943
"AKT2",2.38459378834163,0.129569098573331,34.6051077969824,0.0502152995222421,0.510846891948269
"AKT3",0.219823311100656,0.0452550343828019,61.0918877911816,0.0415980261642513,0.851689612015019
"AKTIP",2.59404566879335,0.350790348642235,28.7541928964183,0.0895271864787883,0.788068418856904
"ALAD",1.89050004675428,0.220644537702765,37.9460808293789,0.0675522524818672,0.731956612432207
"ALAS1",1.92207987836337,0.223216772844885,37.5753077539709,0.0678934373616508,0.729662077596996
"ALCAM",0.658146686785596,0.0253429637544728,45.9301386682832,0.0359349177797113,0.52454456960089
"ALDH16A1",2.14105108776219,0.308058905983381,33.0161301060221,0.0827794959425577,0.792448894451398
"ALDH18A1",2.43964841343057,0.238270836123909,34.0401554719978,0.06943054850789,0.692184675288555
"ALDH2",0.36771259037565,0.0301863080271384,55.181916096568,0.0380632901676856,0.710610485328883
"ALDH3A2",1.300073895943,0.128035641000345,44.3098565299138,0.0525571017551319,0.685162008065638
"ALDH6A1",1.4507489165258,0.166959467586525,42.6039886855449,0.0590850252570659,0.722987067167292
"ALDH7A1",1.71494037229674,0.199696183749191,39.7571932389229,0.0642326334786974,0.728410513141427
"ALDH9A1",1.49910985564689,0.0813156734118381,39.749651847492,0.0435522060524053,0.515157836184119
"ALDOA",1.84597196370231,0.00862783048652861,21.7254737737851,0.0305345100985255,0.0369211514392991
"ALG1",1.63857528576361,0.228728353094858,39.3473174148619,0.0696337063893687,0.77124183006536
