"genes","r_est","p_est","r_rmse","p_rmse","zero_prop"
"AKAP8",5.14597340347457,0.551082755413632,6.97764807875049,0.0662943303303623,0.800051934562451
"AKAP8L",1.35148868859775,0.238693329968121,5.30953251874215,0.0527893293291273,0.807582446117891
"AKAP9",1.52682560410649,0.0404850220196403,2.12627655166373,0.0068026815832915,0.302778499091145
"AKIP1",8.12921872108745,0.451359139010409,5.99983570785107,0.0541199313227903,0.609711763178395
"AKIRIN1",4.4592552217684,0.291165671896319,4.3246615698153,0.0436438867771101,0.588678265385614
"AKIRIN2",2.27852742641859,0.148358465923871,3.77117537989207,0.0329996557816015,0.565048039470267
"AKNA",0.616049944317044,0.0982655019823778,5.12518944454524,0.0445962811903252,0.784731238639314
"AKR1A1",3.20857581036592,0.0775667671633946,1.74969592404525,0.0071425807230708,0.258114775383017
"AKR1B1",0.755996589548017,0.0529970595920938,4.17347823536397,0.0308943198522192,0.625292131913789
"AKR7A2",1.53947116300427,0.0474123221167808,2.35289084913042,0.0101214127331993,0.340431056868346
"AKT1",2.21189833897541,0.211440557528704,4.5528758723186,0.0438544142738174,0.678784731238639
"AKT1S1",1.63991045090302,0.123377099670251,4.01875692658431,0.0340753438346618,0.606855362243573
"AKT2",3.10993490505556,0.232438785934862,4.15237779451882,0.0409530772710456,0.60633601661906
"AKT3",0.540573073565468,0.102517209069319,5.31639201265041,0.0469237883931569,0.815891976110101
"AKTIP",1.26614576990947,0.193922425889871,5.07095764727494,0.0486729662605369,0.774344326149052
"ALAD",1.5631866457634,0.191396831927347,4.79693187597849,0.0457308054282704,0.728122565567385
"ALAS1",1.00089661488373,0.149386762866029,5.08203014421246,0.0465785118131001,0.776681381459361
"ALCAM",0.607657701981545,0.0474357813674553,4.41013362536866,0.0332263389090558,0.662425344066476
"ALDH16A1",4.09461800221379,0.444261511203348,6.00543923952763,0.0604276199988385,0.769929888340691
"ALDH18A1",1.0302624457294,0.136560587754048,4.88881504082496,0.0440056763951629,0.746819008049857
"ALDH2",0.388620143937662,0.0231724109528798,4.38489468580574,0.0311293169236778,0.653596468449753
"ALDH3A2",1.27151080628247,0.133743031170261,4.52404358954109,0.0400875630844656,0.688911970916645
"ALDH6A1",0.96356482755654,0.131653623720656,4.9125739238501,0.0440438794808057,0.751233445858219
"ALDH7A1",1.12332582260884,0.127512796728452,4.66124694987741,0.0411436124693206,0.710464814333939
"ALDH9A1",3.64894075341285,0.207724405779211,3.632696544359,0.0347037275486832,0.52635679044404
